week,symbol,cluster_id,w_fast,w_slow,w
2019-04-08,BTC,,0.05,-0.05,0.019999998889392075
2019-04-08,DASH,,0.0,0.0,0.0
2019-04-08,ETC,,-0.05,0.0,-0.03499999805643613
2019-04-08,ETH,,0.0,0.0,0.0
2019-04-08,FET,,0.0,0.0,0.0
2019-04-08,LINK,,0.0,0.05,0.014999999167044059
2019-04-08,LTC,,-0.05,0.05,-0.019999998889392075
2019-04-08,TRX,,-0.05,0.05,-0.019999998889392075
2019-04-08,VET,,0.05,-0.05,0.019999998889392075
2019-04-08,XLM,,0.05,0.0,0.03499999805643613
2019-04-08,XRP,,-0.05,-0.05,-0.04999999722348019
2019-04-08,ZEC,,0.0,0.0,0.0
2019-04-15,ADA,,0.0,0.05,0.0119893171077756
2019-04-15,BNB,,0.05,-0.05,0.015985756143700798
2019-04-15,BTC,,0.05,-0.05,0.015985756143700798
2019-04-15,DASH,,0.0,0.0,0.0
2019-04-15,ETC,,-0.05,0.0,-0.0279750732514764
2019-04-15,ETH,,0.0,0.0,0.0
2019-04-15,FET,,0.0,0.0,0.0
2019-04-15,LINK,,0.0,0.05,0.0119893171077756
2019-04-15,LTC,,-0.05,0.05,-0.015985756143700798
2019-04-15,TRX,,-0.05,0.05,-0.015985756143700798
2019-04-15,VET,,0.05,-0.05,0.015985756143700798
2019-04-15,XLM,,0.05,0.0,0.0279750732514764
2019-04-15,XRP,,-0.05,-0.05,-0.039964390359252
2019-04-15,ZEC,,0.0,0.0,0.0
2019-04-22,ADA,,0.0,0.05,0.012000068730638797
2019-04-22,BNB,,0.05,-0.05,0.016000091640851727
2019-04-22,BTC,,0.05,-0.05,0.016000091640851727
2019-04-22,DASH,,0.0,0.0,0.0
2019-04-22,ETC,,-0.05,0.0,-0.028000160371490525
2019-04-22,ETH,,0.05,0.0,0.028000160371490525
2019-04-22,FET,,-0.05,0.0,-0.028000160371490525
2019-04-22,LINK,,0.05,0.05,0.040000229102129324
2019-04-22,LTC,,-0.05,0.05,-0.016000091640851727
2019-04-22,TRX,,0.0,0.05,0.012000068730638797
2019-04-22,VET,,0.0,-0.05,-0.012000068730638797
2019-04-22,XLM,,0.0,0.0,0.0
2019-04-22,XRP,,-0.05,-0.05,-0.040000229102129324
2019-04-22,ZEC,,0.0,0.0,0.0
2019-04-29,ADA,,0.05,0.05,0.03999825437519274
2019-04-29,BNB,,-0.05,-0.05,-0.03999825437519274
2019-04-29,BTC,,0.05,-0.05,0.015999301750077095
2019-04-29,DASH,,0.0,0.05,0.011999476312557822
2019-04-29,ETC,,0.0,0.05,0.011999476312557822
2019-04-29,ETH,,0.0,-0.05,-0.011999476312557822
2019-04-29,FET,,-0.05,0.05,-0.015999301750077095
2019-04-29,LINK,,-0.05,0.0,-0.027998778062634917
2019-04-29,LTC,,0.0,0.0,0.0
2019-04-29,TRX,,0.05,0.0,0.027998778062634917
2019-04-29,VET,,0.0,0.0,0.0
2019-04-29,XLM,,0.05,0.0,0.027998778062634917
2019-04-29,XRP,,-0.05,-0.05,-0.03999825437519274
2019-04-29,ZEC,,0.0,0.0,0.0
