week,factor,ic
2020-04-06,NEWC,-0.2274204508679625
2020-04-06,SKEW52,0.12105263157894736
2020-04-06,TVLC,
2020-04-13,VOLC,0.23636363636363636
2020-04-13,MAXRET,0.04935064935064935
2020-04-13,CRASH8,0.01818181818181818
2020-04-13,BETA26,-0.025974025974025972
2020-04-13,NEWC,0.027290454104155502
2020-04-13,SKEW52,0.30350877192982456
2020-04-13,TVLC,
2020-04-20,VOLC,0.23376623376623373
2020-04-20,MAXRET,0.29480519480519485
2020-04-20,CRASH8,-0.6350649350649351
2020-04-20,BETA26,-0.5974025974025974
2020-04-20,NEWC,-0.43339840208266
2020-04-20,SKEW52,0.03909774436090225
2020-04-20,TVLC,
2020-04-27,VOLC,-0.3181818181818181
2020-04-27,MAXRET,-0.21818181818181817
2020-04-27,CRASH8,0.4246753246753247
2020-04-27,BETA26,0.0012987012987012987
2020-04-27,NEWC,0.16634181549199542
2020-04-27,SKEW52,0.051127819548872175
2020-04-27,TVLC,
2020-05-04,VOLC,-0.34545454545454546
2020-05-04,MAXRET,-0.4402597402597402
2020-05-04,CRASH8,0.0987012987012987
2020-05-04,BETA26,0.274025974025974
2020-05-04,NEWC,-0.11500977086751245
2020-05-04,SKEW52,-0.07669172932330826
2020-05-04,TVLC,
2020-05-11,VOLC,-0.3571428571428571
2020-05-11,MAXRET,-0.22727272727272727
2020-05-11,CRASH8,0.011688311688311687
2020-05-11,BETA26,0.548051948051948
2020-05-11,NEWC,0.21702408739971277
2020-05-11,SKEW52,-0.35037593984962395
2020-05-11,TVLC,
2020-05-18,VOLC,0.1012987012987013
2020-05-18,MAXRET,-0.02857142857142857
2020-05-18,CRASH8,-0.1883116883116883
2020-05-18,BETA26,0.47922077922077916
2020-05-18,NEWC,-0.024691363237093072
2020-05-18,SKEW52,0.051127819548872175
2020-05-18,TVLC,
2020-05-25,VOLC,-0.35584415584415585
2020-05-25,MAXRET,-0.39610389610389607
2020-05-25,CRASH8,-0.24155844155844156
2020-05-25,BETA26,0.27662337662337666
2020-05-25,NEWC,-0.08447045317952892
2020-05-25,SKEW52,0.14415584415584418
2020-05-25,TVLC,
2020-06-01,VOLC,-0.3090909090909091
2020-06-01,MAXRET,-0.2662337662337662
2020-06-01,CRASH8,-0.14805194805194805
2020-06-01,BETA26,0.36103896103896105
2020-06-01,NEWC,0.24691363237093072
2020-06-01,SKEW52,-0.031168831168831172
2020-06-01,TVLC,
2020-06-08,VOLC,-0.43376623376623374
2020-06-08,MAXRET,-0.6077922077922078
2020-06-08,CRASH8,-0.02727272727272727
2020-06-08,BETA26,0.5077922077922078
2020-06-08,NEWC,0.1721897699428859
2020-06-08,SKEW52,-0.36363636363636365
2020-06-08,TVLC,
2020-06-15,VOLC,-0.20909090909090908
2020-06-15,MAXRET,-0.05714285714285714
2020-06-15,CRASH8,-0.23636363636363636
2020-06-15,BETA26,0.05844155844155843
2020-06-15,NEWC,-0.3781677211575834
2020-06-15,SKEW52,0.26233766233766237
2020-06-15,TVLC,
2020-06-22,VOLC,-0.6051948051948052
